accession,link,date,country,region
MT444607,https://www.ncbi.nlm.nih.gov/nuccore/MT444607,2020-04-08,USA,NA
MT444606,https://www.ncbi.nlm.nih.gov/nuccore/MT444606,2020-04-08,USA,NA
MT444605,https://www.ncbi.nlm.nih.gov/nuccore/MT444605,2020-04-07,USA,NA
MT444604,https://www.ncbi.nlm.nih.gov/nuccore/MT444604,2020-04-06,USA,NA
MT444603,https://www.ncbi.nlm.nih.gov/nuccore/MT444603,2020-04-07,USA,NA
MT444602,https://www.ncbi.nlm.nih.gov/nuccore/MT444602,2020-04-08,USA,NA
MT444601,https://www.ncbi.nlm.nih.gov/nuccore/MT444601,2020-04-07,USA,NA
MT444600,https://www.ncbi.nlm.nih.gov/nuccore/MT444600,2020-04-07,USA,NA
MT444599,https://www.ncbi.nlm.nih.gov/nuccore/MT444599,2020-04-07,USA,NA
MT444598,https://www.ncbi.nlm.nih.gov/nuccore/MT444598,2020-04-05,USA,NA
MT444597,https://www.ncbi.nlm.nih.gov/nuccore/MT444597,2020-04-06,USA,NA
MT444596,https://www.ncbi.nlm.nih.gov/nuccore/MT444596,2020-04-05,USA,NA
MT444595,https://www.ncbi.nlm.nih.gov/nuccore/MT444595,2020-04-06,USA,NA
MT444594,https://www.ncbi.nlm.nih.gov/nuccore/MT444594,2020-04-05,USA,NA
MT444593,https://www.ncbi.nlm.nih.gov/nuccore/MT444593,2020-04-06,USA,NA
MT444592,https://www.ncbi.nlm.nih.gov/nuccore/MT444592,2020-04-06,USA,NA
MT444591,https://www.ncbi.nlm.nih.gov/nuccore/MT444591,2020-04-06,USA,NA
MT444590,https://www.ncbi.nlm.nih.gov/nuccore/MT444590,2020-04-05,USA,NA
MT444589,https://www.ncbi.nlm.nih.gov/nuccore/MT444589,2020-04-05,USA,NA
MT444588,https://www.ncbi.nlm.nih.gov/nuccore/MT444588,2020-04-05,USA,NA
MT444587,https://www.ncbi.nlm.nih.gov/nuccore/MT444587,2020-04-02,USA,NA
MT444586,https://www.ncbi.nlm.nih.gov/nuccore/MT444586,2020-04-02,USA,NA
MT444585,https://www.ncbi.nlm.nih.gov/nuccore/MT444585,2020-04-02,USA,NA
MT444584,https://www.ncbi.nlm.nih.gov/nuccore/MT444584,2020-04-02,USA,NA
MT444583,https://www.ncbi.nlm.nih.gov/nuccore/MT444583,2020-03-31,USA,NA
MT444582,https://www.ncbi.nlm.nih.gov/nuccore/MT444582,2020-04-02,USA,NA
MT444581,https://www.ncbi.nlm.nih.gov/nuccore/MT444581,2020-04-02,USA,NA
MT444580,https://www.ncbi.nlm.nih.gov/nuccore/MT444580,2020-04-04,USA,NA
MT444579,https://www.ncbi.nlm.nih.gov/nuccore/MT444579,2020-04-04,USA,NA
MT444578,https://www.ncbi.nlm.nih.gov/nuccore/MT444578,2020-04-03,USA,NA
MT444577,https://www.ncbi.nlm.nih.gov/nuccore/MT444577,2020-04-02,USA,NA
MT444576,https://www.ncbi.nlm.nih.gov/nuccore/MT444576,2020-04-03,USA,NA
MT444575,https://www.ncbi.nlm.nih.gov/nuccore/MT444575,2020-04-03,USA,NA
MT444574,https://www.ncbi.nlm.nih.gov/nuccore/MT444574,2020-04-03,USA,NA
MT444573,https://www.ncbi.nlm.nih.gov/nuccore/MT444573,2020-04-03,USA,NA
MT444572,https://www.ncbi.nlm.nih.gov/nuccore/MT444572,2020-04-03,USA,NA
MT444571,https://www.ncbi.nlm.nih.gov/nuccore/MT444571,2020-04-03,USA,NA
MT444570,https://www.ncbi.nlm.nih.gov/nuccore/MT444570,2020-04-03,USA,NA
MT444569,https://www.ncbi.nlm.nih.gov/nuccore/MT444569,2020-04-03,USA,NA
MT444568,https://www.ncbi.nlm.nih.gov/nuccore/MT444568,2020-03-28,USA,NA
MT444567,https://www.ncbi.nlm.nih.gov/nuccore/MT444567,2020-03-29,USA,NA
MT444566,https://www.ncbi.nlm.nih.gov/nuccore/MT444566,2020-03-28,USA,NA
MT444565,https://www.ncbi.nlm.nih.gov/nuccore/MT444565,2020-03-28,USA,NA
MT444564,https://www.ncbi.nlm.nih.gov/nuccore/MT444564,2020-03-27,USA,NA
MT444563,https://www.ncbi.nlm.nih.gov/nuccore/MT444563,2020-03-12,USA,NA
MT444562,https://www.ncbi.nlm.nih.gov/nuccore/MT444562,2020-03-12,USA,NA
MT444561,https://www.ncbi.nlm.nih.gov/nuccore/MT444561,2020-03-12,USA,NA
MT444560,https://www.ncbi.nlm.nih.gov/nuccore/MT444560,2020-03-12,USA,NA
MT444559,https://www.ncbi.nlm.nih.gov/nuccore/MT444559,2020-03-14,USA,NA
MT444558,https://www.ncbi.nlm.nih.gov/nuccore/MT444558,2020-03-15,USA,NA
MT444557,https://www.ncbi.nlm.nih.gov/nuccore/MT444557,2020-03-15,USA,NA
MT444556,https://www.ncbi.nlm.nih.gov/nuccore/MT444556,2020-03-14,USA,NA
MT444555,https://www.ncbi.nlm.nih.gov/nuccore/MT444555,2020-04-03,USA,NA
MT444554,https://www.ncbi.nlm.nih.gov/nuccore/MT444554,2020-04-03,USA,NA
MT444553,https://www.ncbi.nlm.nih.gov/nuccore/MT444553,2020-04-03,USA,NA
MT444552,https://www.ncbi.nlm.nih.gov/nuccore/MT444552,2020-04-03,USA,NA
MT444551,https://www.ncbi.nlm.nih.gov/nuccore/MT444551,2020-04-03,USA,NA
MT444550,https://www.ncbi.nlm.nih.gov/nuccore/MT444550,2020-04-02,USA,NA
MT444549,https://www.ncbi.nlm.nih.gov/nuccore/MT444549,2020-04-02,USA,NA
MT444548,https://www.ncbi.nlm.nih.gov/nuccore/MT444548,2020-04-02,USA,NA
MT444547,https://www.ncbi.nlm.nih.gov/nuccore/MT444547,2020-04-03,USA,NA
MT444546,https://www.ncbi.nlm.nih.gov/nuccore/MT444546,2020-04-02,USA,NA
MT444545,https://www.ncbi.nlm.nih.gov/nuccore/MT444545,2020-03-31,USA,NA
MT444544,https://www.ncbi.nlm.nih.gov/nuccore/MT444544,2020-04-02,USA,NA
MT444543,https://www.ncbi.nlm.nih.gov/nuccore/MT444543,2020-04-02,USA,NA
MT444542,https://www.ncbi.nlm.nih.gov/nuccore/MT444542,2020-04-02,USA,NA
MT444541,https://www.ncbi.nlm.nih.gov/nuccore/MT444541,2020-04-02,USA,NA
MT444540,https://www.ncbi.nlm.nih.gov/nuccore/MT444540,2020-03-31,USA,NA
MT444539,https://www.ncbi.nlm.nih.gov/nuccore/MT444539,2020-03-30,USA,NA
MT444538,https://www.ncbi.nlm.nih.gov/nuccore/MT444538,2020-03-30,USA,NA
MT444537,https://www.ncbi.nlm.nih.gov/nuccore/MT444537,2020-03-30,USA,NA
MT444536,https://www.ncbi.nlm.nih.gov/nuccore/MT444536,2020-03-30,USA,NA
MT444535,https://www.ncbi.nlm.nih.gov/nuccore/MT444535,2020-03-31,USA,NA
MT444534,https://www.ncbi.nlm.nih.gov/nuccore/MT444534,2020-03-30,USA,NA
MT444533,https://www.ncbi.nlm.nih.gov/nuccore/MT444533,2020-03-15,USA,NA
MT444532,https://www.ncbi.nlm.nih.gov/nuccore/MT444532,2020-03-14,USA,NA
MT444531,https://www.ncbi.nlm.nih.gov/nuccore/MT444531,2020-03-14,USA,NA
MT444530,https://www.ncbi.nlm.nih.gov/nuccore/MT444530,2020-03-15,USA,NA
MT444529,https://www.ncbi.nlm.nih.gov/nuccore/MT444529,2020-03-17,USA,NA
MT444528,https://www.ncbi.nlm.nih.gov/nuccore/MT444528,2020-03-17,USA,NA
MT444527,https://www.ncbi.nlm.nih.gov/nuccore/MT444527,2020-03-17,USA,NA
MT444526,https://www.ncbi.nlm.nih.gov/nuccore/MT444526,2020-03-15,USA,NA
MT444525,https://www.ncbi.nlm.nih.gov/nuccore/MT444525,2020-03-16,USA,NA
MT444524,https://www.ncbi.nlm.nih.gov/nuccore/MT444524,2020-03-15,USA,NA
MT444523,https://www.ncbi.nlm.nih.gov/nuccore/MT444523,2020-03-17,USA,NA
MT444522,https://www.ncbi.nlm.nih.gov/nuccore/MT444522,2020-03-16,USA,NA
MT444521,https://www.ncbi.nlm.nih.gov/nuccore/MT444521,2020-03-17,USA,NA
MT444520,https://www.ncbi.nlm.nih.gov/nuccore/MT444520,2020-03-16,USA,NA
MT444519,https://www.ncbi.nlm.nih.gov/nuccore/MT444519,2020-03-16,USA,NA
MT444518,https://www.ncbi.nlm.nih.gov/nuccore/MT444518,2020-03-16,USA,NA
MT444517,https://www.ncbi.nlm.nih.gov/nuccore/MT444517,2020-03-16,USA,NA
MT444516,https://www.ncbi.nlm.nih.gov/nuccore/MT444516,2020-03-16,USA,NA
MT444515,https://www.ncbi.nlm.nih.gov/nuccore/MT444515,2020-03-16,USA,NA
MT444148,https://www.ncbi.nlm.nih.gov/nuccore/MT444148,2020-03-11,USA,CA
MT439597,https://www.ncbi.nlm.nih.gov/nuccore/MT439597,2020-04-23,India,NA
MT439596,https://www.ncbi.nlm.nih.gov/nuccore/MT439596,2020-04-24,India,NA
MT439595,https://www.ncbi.nlm.nih.gov/nuccore/MT439595,2020-04-24,India,NA
MT439320,https://www.ncbi.nlm.nih.gov/nuccore/MT439320,2020-03-30,USA,MI
MT439319,https://www.ncbi.nlm.nih.gov/nuccore/MT439319,2020-03-28,USA,MI
MT439318,https://www.ncbi.nlm.nih.gov/nuccore/MT439318,2020-03-27,USA,MI
MT439317,https://www.ncbi.nlm.nih.gov/nuccore/MT439317,2020-03-26,USA,MI
MT439316,https://www.ncbi.nlm.nih.gov/nuccore/MT439316,2020-03-27,USA,MI
MT439315,https://www.ncbi.nlm.nih.gov/nuccore/MT439315,2020-03-27,USA,MI
MT439314,https://www.ncbi.nlm.nih.gov/nuccore/MT439314,2020-03-27,USA,MI
MT439313,https://www.ncbi.nlm.nih.gov/nuccore/MT439313,2020-03-27,USA,MI
MT439312,https://www.ncbi.nlm.nih.gov/nuccore/MT439312,2020-03-27,USA,MI
MT439311,https://www.ncbi.nlm.nih.gov/nuccore/MT439311,2020-03-27,USA,MI
MT439310,https://www.ncbi.nlm.nih.gov/nuccore/MT439310,2020-03-27,USA,MI
MT439309,https://www.ncbi.nlm.nih.gov/nuccore/MT439309,2020-03-28,USA,MI
MT439308,https://www.ncbi.nlm.nih.gov/nuccore/MT439308,2020-03-27,USA,MI
MT439307,https://www.ncbi.nlm.nih.gov/nuccore/MT439307,2020-03-27,USA,MI
MT439306,https://www.ncbi.nlm.nih.gov/nuccore/MT439306,2020-03-27,USA,MI
MT439305,https://www.ncbi.nlm.nih.gov/nuccore/MT439305,2020-03-26,USA,MI
MT439304,https://www.ncbi.nlm.nih.gov/nuccore/MT439304,2020-03-27,USA,MI
MT439303,https://www.ncbi.nlm.nih.gov/nuccore/MT439303,2020-03-26,USA,MI
MT439302,https://www.ncbi.nlm.nih.gov/nuccore/MT439302,2020-03-25,USA,MI
MT439301,https://www.ncbi.nlm.nih.gov/nuccore/MT439301,2020-03-25,USA,MI
MT439300,https://www.ncbi.nlm.nih.gov/nuccore/MT439300,2020-03-26,USA,MI
MT439299,https://www.ncbi.nlm.nih.gov/nuccore/MT439299,2020-03-25,USA,MI
MT439298,https://www.ncbi.nlm.nih.gov/nuccore/MT439298,2020-03-24,USA,MI
MT439297,https://www.ncbi.nlm.nih.gov/nuccore/MT439297,2020-03-24,USA,MI
MT439296,https://www.ncbi.nlm.nih.gov/nuccore/MT439296,2020-03-24,USA,MI
MT439295,https://www.ncbi.nlm.nih.gov/nuccore/MT439295,2020-03-26,USA,MI
MT439294,https://www.ncbi.nlm.nih.gov/nuccore/MT439294,2020-03-26,USA,MI
MT439293,https://www.ncbi.nlm.nih.gov/nuccore/MT439293,2020-03-24,USA,MI
MT439292,https://www.ncbi.nlm.nih.gov/nuccore/MT439292,2020-03-25,USA,MI
MT439291,https://www.ncbi.nlm.nih.gov/nuccore/MT439291,2020-03-25,USA,MI
MT439290,https://www.ncbi.nlm.nih.gov/nuccore/MT439290,2020-03-25,USA,MI
MT439289,https://www.ncbi.nlm.nih.gov/nuccore/MT439289,2020-03-25,USA,MI
MT439288,https://www.ncbi.nlm.nih.gov/nuccore/MT439288,2020-03-25,USA,MI
MT439287,https://www.ncbi.nlm.nih.gov/nuccore/MT439287,2020-03-24,USA,MI
MT439286,https://www.ncbi.nlm.nih.gov/nuccore/MT439286,2020-03-24,USA,MI
MT439285,https://www.ncbi.nlm.nih.gov/nuccore/MT439285,2020-03-24,USA,MI
MT439284,https://www.ncbi.nlm.nih.gov/nuccore/MT439284,2020-03-24,USA,MI
MT439283,https://www.ncbi.nlm.nih.gov/nuccore/MT439283,2020-03-24,USA,MI
MT439282,https://www.ncbi.nlm.nih.gov/nuccore/MT439282,2020-03-22,USA,MI
MT439281,https://www.ncbi.nlm.nih.gov/nuccore/MT439281,2020-03-23,USA,MI
MT439280,https://www.ncbi.nlm.nih.gov/nuccore/MT439280,2020-03-23,USA,MI
MT439279,https://www.ncbi.nlm.nih.gov/nuccore/MT439279,2020-03-24,USA,MI
MT439278,https://www.ncbi.nlm.nih.gov/nuccore/MT439278,2020-03-24,USA,MI
MT439277,https://www.ncbi.nlm.nih.gov/nuccore/MT439277,2020-03-24,USA,MI
MT439276,https://www.ncbi.nlm.nih.gov/nuccore/MT439276,2020-03-24,USA,MI
MT439275,https://www.ncbi.nlm.nih.gov/nuccore/MT439275,2020-03-24,USA,MI
MT439274,https://www.ncbi.nlm.nih.gov/nuccore/MT439274,2020-03-24,USA,MI
MT439273,https://www.ncbi.nlm.nih.gov/nuccore/MT439273,2020-03-24,USA,MI
MT439272,https://www.ncbi.nlm.nih.gov/nuccore/MT439272,2020-03-23,USA,MI
MT439271,https://www.ncbi.nlm.nih.gov/nuccore/MT439271,2020-03-22,USA,MI
MT439270,https://www.ncbi.nlm.nih.gov/nuccore/MT439270,2020-03-23,USA,MI
MT439269,https://www.ncbi.nlm.nih.gov/nuccore/MT439269,2020-03-23,USA,MI
MT439268,https://www.ncbi.nlm.nih.gov/nuccore/MT439268,2020-03-22,USA,MI
MT439267,https://www.ncbi.nlm.nih.gov/nuccore/MT439267,2020-03-23,USA,MI
MT439266,https://www.ncbi.nlm.nih.gov/nuccore/MT439266,2020-03-23,USA,MI
MT439265,https://www.ncbi.nlm.nih.gov/nuccore/MT439265,2020-03-18,USA,MI
MT439264,https://www.ncbi.nlm.nih.gov/nuccore/MT439264,2020-03-22,USA,MI
MT439263,https://www.ncbi.nlm.nih.gov/nuccore/MT439263,2020-03-20,USA,MI
MT439262,https://www.ncbi.nlm.nih.gov/nuccore/MT439262,2020-03-23,USA,MI
MT439261,https://www.ncbi.nlm.nih.gov/nuccore/MT439261,2020-03-23,USA,MI
MT439260,https://www.ncbi.nlm.nih.gov/nuccore/MT439260,2020-03-21,USA,MI
MT439259,https://www.ncbi.nlm.nih.gov/nuccore/MT439259,2020-03-22,USA,MI
MT439258,https://www.ncbi.nlm.nih.gov/nuccore/MT439258,2020-03-16,USA,MI
MT439257,https://www.ncbi.nlm.nih.gov/nuccore/MT439257,2020-03-20,USA,MI
MT439256,https://www.ncbi.nlm.nih.gov/nuccore/MT439256,2020-03-19,USA,MI
MT439255,https://www.ncbi.nlm.nih.gov/nuccore/MT439255,2020-03-19,USA,MI
MT439254,https://www.ncbi.nlm.nih.gov/nuccore/MT439254,2020-03-18,USA,MI
MT439253,https://www.ncbi.nlm.nih.gov/nuccore/MT439253,2020-03-17,USA,MI
MT439252,https://www.ncbi.nlm.nih.gov/nuccore/MT439252,2020-03-18,USA,MI
MT439251,https://www.ncbi.nlm.nih.gov/nuccore/MT439251,2020-03-19,USA,MI
MT439250,https://www.ncbi.nlm.nih.gov/nuccore/MT439250,2020-03-17,USA,MI
MT439249,https://www.ncbi.nlm.nih.gov/nuccore/MT439249,2020-03-17,USA,MI
MT439248,https://www.ncbi.nlm.nih.gov/nuccore/MT439248,2020-03-16,USA,MI
MT439247,https://www.ncbi.nlm.nih.gov/nuccore/MT439247,2020-03-16,USA,MI
MT439246,https://www.ncbi.nlm.nih.gov/nuccore/MT439246,2020-03-14,USA,MI
MT439245,https://www.ncbi.nlm.nih.gov/nuccore/MT439245,2020-03-13,USA,MI
MT439244,https://www.ncbi.nlm.nih.gov/nuccore/MT439244,2020-03-13,USA,MI
MT439243,https://www.ncbi.nlm.nih.gov/nuccore/MT439243,2020-03-13,USA,MI
MT439242,https://www.ncbi.nlm.nih.gov/nuccore/MT439242,2020-03-14,USA,MI
MT439241,https://www.ncbi.nlm.nih.gov/nuccore/MT439241,2020-03-13,USA,MI
MT439240,https://www.ncbi.nlm.nih.gov/nuccore/MT439240,2020-03-13,USA,MI
MT439239,https://www.ncbi.nlm.nih.gov/nuccore/MT439239,2020-03-12,USA,MI
MT439238,https://www.ncbi.nlm.nih.gov/nuccore/MT439238,2020-03-13,USA,MI
MT439237,https://www.ncbi.nlm.nih.gov/nuccore/MT439237,2020-03-12,USA,MI
MT439236,https://www.ncbi.nlm.nih.gov/nuccore/MT439236,2020-03-12,USA,MI
MT439235,https://www.ncbi.nlm.nih.gov/nuccore/MT439235,2020-03-11,USA,MI
MT439234,https://www.ncbi.nlm.nih.gov/nuccore/MT439234,2020-03-11,USA,MI
MT439233,https://www.ncbi.nlm.nih.gov/nuccore/MT439233,2020-03-10,USA,MI
MT439232,https://www.ncbi.nlm.nih.gov/nuccore/MT439232,2020-03-10,USA,MI
MT439231,https://www.ncbi.nlm.nih.gov/nuccore/MT439231,2020-03-10,USA,MI
MT439230,https://www.ncbi.nlm.nih.gov/nuccore/MT439230,2020-03-10,USA,MI
MT438760,https://www.ncbi.nlm.nih.gov/nuccore/MT438760,2020-04-22,USA,CA
MT438759,https://www.ncbi.nlm.nih.gov/nuccore/MT438759,2020-04-22,USA,CA
MT438758,https://www.ncbi.nlm.nih.gov/nuccore/MT438758,2020-04-22,USA,CA
MT438757,https://www.ncbi.nlm.nih.gov/nuccore/MT438757,2020-04-22,USA,CA
MT438756,https://www.ncbi.nlm.nih.gov/nuccore/MT438756,2020-04-22,USA,CA
MT438755,https://www.ncbi.nlm.nih.gov/nuccore/MT438755,2020-04-22,USA,CA
MT438754,https://www.ncbi.nlm.nih.gov/nuccore/MT438754,2020-04-22,USA,CA
MT438753,https://www.ncbi.nlm.nih.gov/nuccore/MT438753,2020-04-22,USA,CA
MT438752,https://www.ncbi.nlm.nih.gov/nuccore/MT438752,2020-04-22,USA,CA
MT438751,https://www.ncbi.nlm.nih.gov/nuccore/MT438751,2020-04-22,USA,CA
MT438750,https://www.ncbi.nlm.nih.gov/nuccore/MT438750,2020-04-22,USA,CA
MT438749,https://www.ncbi.nlm.nih.gov/nuccore/MT438749,2020-04-22,USA,CA
MT438748,https://www.ncbi.nlm.nih.gov/nuccore/MT438748,2020-04-22,USA,CA
MT438747,https://www.ncbi.nlm.nih.gov/nuccore/MT438747,2020-04-22,USA,CA
MT438746,https://www.ncbi.nlm.nih.gov/nuccore/MT438746,2020-04-22,USA,CA
MT438745,https://www.ncbi.nlm.nih.gov/nuccore/MT438745,2020-04-22,USA,CA
MT438744,https://www.ncbi.nlm.nih.gov/nuccore/MT438744,2020-04-22,USA,CA
MT438743,https://www.ncbi.nlm.nih.gov/nuccore/MT438743,2020-04-22,USA,CA
MT438742,https://www.ncbi.nlm.nih.gov/nuccore/MT438742,2020-04-22,USA,CA
MT438741,https://www.ncbi.nlm.nih.gov/nuccore/MT438741,2020-04-22,USA,CA
MT438740,https://www.ncbi.nlm.nih.gov/nuccore/MT438740,2020-04-22,USA,CA
MT438739,https://www.ncbi.nlm.nih.gov/nuccore/MT438739,2020-04-22,USA,CA
MT438738,https://www.ncbi.nlm.nih.gov/nuccore/MT438738,2020-04-22,USA,CA
MT438737,https://www.ncbi.nlm.nih.gov/nuccore/MT438737,2020-04-22,USA,CA
